Timestamp,Milliseconds,Signal Strength (dBm)
2025-02-28 14:49:20.739,1740782960739,-73
2025-02-28 14:49:21.760,1740782961760,-73
2025-02-28 14:49:22.774,1740782962774,-73
2025-02-28 14:49:23.791,1740782963791,-73
2025-02-28 14:49:24.811,1740782964811,-73
2025-02-28 14:49:25.830,1740782965830,-73
2025-02-28 14:49:26.847,1740782966847,-73
2025-02-28 14:49:27.860,1740782967860,-73
2025-02-28 14:49:28.870,1740782968870,-73
2025-02-28 14:49:29.879,1740782969879,-73
2025-02-28 14:49:30.893,1740782970893,-73
2025-02-28 14:49:31.907,1740782971907,-73
2025-02-28 14:49:32.919,1740782972919,-73
2025-02-28 14:49:33.935,1740782973935,-73
2025-02-28 14:49:34.948,1740782974948,-73
2025-02-28 14:49:35.961,1740782975961,-73
2025-02-28 14:49:36.977,1740782976977,-73
2025-02-28 14:49:37.997,1740782977997,-73
2025-02-28 14:49:39.021,1740782979021,-73
2025-02-28 14:49:40.043,1740782980043,-73
2025-02-28 14:49:41.056,1740782981056,-73
2025-02-28 14:49:42.076,1740782982076,-73
2025-02-28 14:49:43.098,1740782983098,-73
2025-02-28 14:49:44.117,1740782984117,-73
2025-02-28 14:49:45.135,1740782985135,-73
2025-02-28 14:49:46.152,1740782986152,-73
2025-02-28 14:49:47.171,1740782987171,-73
2025-02-28 14:49:48.192,1740782988192,-73
2025-02-28 14:49:49.214,1740782989214,-73
2025-02-28 14:49:50.227,1740782990227,-73
2025-02-28 14:49:51.240,1740782991240,-73
2025-02-28 14:49:52.249,1740782992249,-77
2025-02-28 14:49:53.261,1740782993261,-77
2025-02-28 14:49:54.279,1740782994279,-77
2025-02-28 14:49:55.300,1740782995300,-77
2025-02-28 14:49:56.317,1740782996317,-77
2025-02-28 14:49:57.338,1740782997338,-77
2025-02-28 14:49:58.359,1740782998359,-77
2025-02-28 14:49:59.379,1740782999379,-77
2025-02-28 14:50:00.394,1740783000394,-77
2025-02-28 14:50:01.412,1740783001412,-77
2025-02-28 14:50:02.432,1740783002432,-77
2025-02-28 14:50:03.453,1740783003453,-77
2025-02-28 14:50:04.471,1740783004471,-77
2025-02-28 14:50:05.487,1740783005487,-77
2025-02-28 14:50:06.504,1740783006504,-77
2025-02-28 14:50:07.525,1740783007525,-77
2025-02-28 14:50:08.544,1740783008544,-77
2025-02-28 14:50:09.564,1740783009564,-77
